Customer,Day,Browser,Time (min),Pages Viewed,Amount Spent ($)
1,Mon,Chrome,12,4,54.52
2,Wed,Other,19.5,6,94.9
3,Mon,Chrome,8.5,4,26.68
4,Tue,Firefox,11.4,2,44.73
5,Wed,Chrome,11.3,4,66.27
6,Sat,Firefox,10.5,6,67.8
7,Sun,Chrome,11.4,2,36.04
8,Fri,Firefox,4.3,6,55.96
9,Wed,Firefox,12.7,3,70.94
10,Tue,Chrome,24.7,7,68.73
11,Sat,Other,13.3,6,54.04
12,Sun,Firefox,14.3,5,48.05
13,Sun,Other,11.7,7,64.16
14,Mon,Firefox,24.4,10,158.51
15,Fri,Chrome,8.4,3,84.12
16,Thu,Chrome,9.6,4,59.2
17,Thu,Chrome,23.3,7,91.62
18,Mon,Chrome,14,7,126.4
19,Fri,Other,5.6,4,68.45
20,Wed,Chrome,15.1,5,32.69
21,Sat,Firefox,16.3,5,78.58
22,Tue,Chrome,10.2,6,74.43
23,Sun,Chrome,8,3,32.73
24,Tue,Firefox,8,2,48.66
25,Fri,Firefox,9.6,3,54.66
26,Wed,Chrome,11,2,40.54
27,Sat,Chrome,16.9,5,34.69
28,Sat,Firefox,6,4,27.91
29,Fri,Firefox,32.9,10,155.3
30,Mon,Other,11.8,9,120.25
31,Thu,Chrome,7.1,2,41.2
32,Fri,Firefox,18,8,134.4
33,Sun,Chrome,11.8,4,37.17
34,Fri,Chrome,9.1,3,52.09
35,Tue,Chrome,7.8,5,71.81
36,Mon,Firefox,16.5,5,59.99
37,Thu,Firefox,6.2,4,84.17
38,Sat,Chrome,11.3,4,55.58
39,Tue,Chrome,10.6,2,39.06
40,Wed,Chrome,5,5,36.48
41,Tue,Other,15.9,4,67.44
42,Sat,Chrome,18.1,7,60.14
43,Fri,Firefox,10.8,4,70.38
44,Mon,Chrome,13.3,7,110.65
45,Mon,Chrome,30.1,6,104.23
46,Fri,Firefox,13.7,4,68.17
47,Thu,Chrome,8.1,2,17.84
48,Fri,Chrome,9.7,5,103.15
49,Mon,Other,7.3,6,52.15
50,Fri,Chrome,13.4,3,98.75
